Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name
Erlik	/m/0h1nd1z		['lead', 'saw', 'city']	-33.26853	0.8799354	8.872404	28	28913522		False	2011.0	M	1.96	/m/0x67	Michael Clarke Duncan	53.0		['Drama', 'Action/Adventure', 'Fantasy']	Cross
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171026		False	1991.0	M	1.85	/m/03bkbh	Nick Nolte	50.0	182291969.0	['Drama', 'Thriller', 'Crime Fiction']	Cape Fear
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171026		False	1991.0	M	1.85	/m/03bkbh	Nick Nolte	50.0	182291969.0	['Drama', 'Thriller', 'Crime Fiction']	Cape Fear
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171026		False	1991.0	M	1.85	/m/03bkbh	Nick Nolte	50.0	182291969.0	['Drama', 'Thriller', 'Crime Fiction']	Cape Fear
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171029		False	1962.0	M	1.905	/m/07bch9	Gregory Peck	45.0		['Drama', 'Black-and-white', 'Thriller']	Cape Fear
Arun Saxena	/m/0gyc_0d		['sentence', 'arrest', 'end']	6.6433787	-10.544266	-0.1551434	2	17687304		False	1994.0	M	1.8	/m/0dryh9k	Ajay Devgan	24.0		['Bollywood']	Dilwale
Preeti	/m/0h2wfzq		['drink', 'fall', 'live']	1.8688905	-46.319637	-7.354997	21	5008724		False	1979.0	F	1.68	/m/0dryh9k	Saira Banu	34.0		['Drama', 'World cinema', 'Family Film']	Purab Aur Paschim
Bharat	/m/0h55ggb		['fall', 'son', 'want']	20.328348	-21.113527	27.914646	0	5008724		False	1979.0	M	1.89		Manoj Kumar	41.0		['Drama', 'World cinema', 'Family Film']	Purab Aur Paschim
Frank Lucas	/m/05kfx46	['driver']	['provide', 'realize', 'contend']	-16.946663	32.91565	-13.545003	9	5017604		False	2007.0	M	1.84	/m/0x67	Denzel Washington	52.0	266465037.0	['Drama', 'Crime Fiction', 'War film']	American Gangster
Cody Jarrett	/m/0h32fbz	['leader']	['suffer', 'drop', 'steal']	-35.428555	-7.1082726	22.45418	3	11445373		False	1949.0	M	1.651	/m/033tf_	James Cagney			['Drama', 'Black-and-white', 'Thriller']	White Heat
